	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_lambda	param_model_conifg__max_depth	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.6305233157495829	3.921602081976562	0.03718635067633043	7.511186600478471	398	0.0017062829878430163	9	-37.980904	-226.16109	-2.518944	-179.60648	-0.42901364	-89.33929	106.00574	96
1	0.8004481854639751	0.45305055346283163	0.02234843752377777	5.49894250743004	118	0.2986797869222453	9	-37.763706	-226.42499	-2.4675407	-179.4221	-0.43528688	-89.30272	106.087296	79
2	0.7523764532594154	0.42308809983893503	0.023707516845318268	9.186341749476522	94	0.0024204256407323035	10	-38.06303	-226.37808	-2.4745238	-180.04364	-0.35638613	-89.46313	106.18325	208
3	0.9724824078756087	0.22200621499670528	0.06044107157955396	9.55116550372281	362	0.0004968337116743803	8	-37.908142	-226.2459	-3.0528939	-179.60866	-0.47325733	-89.45778	105.92401	205
4	0.9636513499546925	0.7525302842203259	0.04797063502092494	7.753688731918314	307	0.0074303870870243245	8	-38.052532	-225.87772	-2.5863845	-178.83794	-0.5075372	-89.17242	105.711975	26
5	0.7930547609650072	3.1071470016590133	0.17282343335636097	4.138807380892437	283	0.22473565355202207	9	-37.838253	-226.47032	-2.5127892	-179.776	-0.3272258	-89.38492	106.18151	147
6	0.7255978708850649	2.9058641299553747	0.022863783135409186	5.075586392917604	117	0.0017411531294131326	3	-37.77781	-226.4125	-2.4646094	-179.47237	-0.41002882	-89.30746	106.098114	81
7	0.7481404331952141	2.349555591668014	0.08627048905323088	4.716926462024511	279	0.1493757136599663	3	-37.77725	-226.47032	-2.531223	-179.74356	-0.32405433	-89.36928	106.17891	131
8	0.8964475491653057	2.169632813851388	0.03587805487837893	6.709418817704549	117	0.001087785044617476	2	-37.514816	-226.27835	-2.477909	-179.24655	-0.6687167	-89.23727	105.98197	50
9	0.8669043066867064	2.25355643463159	0.10400670833592895	7.161660315583974	192	0.6635494476750942	7	-37.938393	-226.06277	-2.5300176	-179.27348	-0.4954287	-89.260025	105.89213	62
10	0.9815965624246856	0.8533219040436901	0.0699073915986927	6.016721748680499	300	0.0003754153817401947	9	-37.223545	-226.26488	-2.5341809	-178.88657	-0.70448625	-89.122734	105.9179	18
11	0.8636933281192898	3.3423780159893326	0.12331058033348657	5.793018346865497	335	0.007111898938872145	8	-37.463123	-226.42642	-2.4700892	-179.10243	-0.48181066	-89.18878	106.04626	32
12	0.919557987111286	2.071703573097981	0.07724857183263156	5.517311401067938	247	0.1390806693696889	2	-37.383488	-226.3911	-2.4833171	-178.691	-0.48269084	-89.08632	105.954544	12
13	0.9099601503256068	4.002314433834488	0.04782392603033652	5.145672665469492	156	0.3541243638904195	3	-37.505054	-226.41837	-2.4706895	-179.39244	-0.42906803	-89.243126	106.110985	53
14	0.9504300439372034	1.414054898184878	0.02033591675071055	4.353336460002105	382	0.0012771805314591635	8	-37.77813	-226.47601	-2.541722	-179.7627	-0.33316764	-89.37834	106.18066	139
15	0.9187043827727609	3.614486938148627	0.01553972771509569	6.928734330587309	283	0.00963980448334129	10	-37.553947	-226.28159	-2.4851382	-179.42082	-0.5761736	-89.263535	106.033134	63
16	0.9251318200654826	2.195753681834998	0.060315456101352645	7.553451548324205	297	0.10742897341137396	6	-37.983936	-226.10422	-2.5391982	-179.29549	-0.47713968	-89.28	105.906624	70
17	0.756800623128224	4.704004508047905	0.01892402243389382	8.319666433855419	388	0.20597417877308574	2	-37.97651	-226.25401	-2.527307	-179.89467	-0.3963548	-89.409775	106.102776	171
18	0.674399555111372	4.080380318530725	0.05697704255819057	5.022392862977577	95	0.0007876160322236518	2	-37.48393	-226.39236	-2.4723868	-179.2626	-0.43748623	-89.209755	106.075485	40
19	0.9427902504447041	0.2650036020639561	0.049315889211650206	8.17256221699208	319	0.00891681843951797	3	-37.91416	-226.16068	-2.6123528	-179.59427	-0.42202052	-89.3407	105.99344	97
20	0.6676404253461533	4.395834557890013	0.15236094472959757	2.7777960052044115	305	0.7080728662643101	6	-76.19352	-226.32521	-2.5284595	-177.8278	-0.34703496	-96.64441	102.417145	243
21	0.9231341837184278	2.793599191923565	0.01637952540072285	1.3197592434732703	304	0.1704054128495447	9	-84.741684	-226.4542	-2.4718266	-178.216	-0.34699458	-98.44614	102.19053	264
22	0.855390809063961	4.328154748020688	0.06733955132809935	9.993673542206833	94	0.012556810699202297	10	-37.95141	-226.32867	-2.518428	-179.92465	-0.3782666	-89.42029	106.14189	186
23	0.6395092947097226	2.8771553826287035	0.0190542553567716	1.1061170795046733	61	0.5789560193199013	10	-37.204426	-226.22339	-2.4656549	-179.43753	-0.3260947	-89.131424	106.11687	21
24	0.9904855288314907	2.8021201107788203	0.012396667162288523	4.060610363926861	273	0.12059306633756241	4	-37.913822	-226.47142	-2.5150425	-179.91519	-0.32682186	-89.42846	106.20196	190
25	0.9490508732576748	0.21712482809742123	0.022560749749812765	3.494976244248657	127	0.006331429539178653	9	-38.567753	-226.01729	-2.4681616	-179.70438	-0.3250435	-89.41653	105.941696	178
26	0.6121757066662492	3.3955490446583525	0.012382692066638437	4.247024444066991	145	0.06082578923301668	3	-38.076084	-226.47028	-2.4921348	-180.05511	-0.30606088	-89.479935	106.220795	214
27	0.8084056413128705	2.721459628546787	0.02585137218773163	7.633792535970617	172	0.01966581845510724	3	-38.009594	-226.14053	-2.521207	-179.5356	-0.45398778	-89.33218	105.97484	91
28	0.7513504533725677	1.1108006968532065	0.15677190410383735	8.452842125922528	84	0.14476175533542823	9	-37.990723	-226.19458	-2.535619	-179.8307	-0.40615195	-89.391556	106.06449	154
29	0.9307976974579054	1.2634359915104076	0.16738020434326015	8.38592372315696	68	0.00010172286706178733	9	-37.934597	-225.97778	-2.5790775	-179.79106	-0.3906621	-89.33464	105.987305	92
30	0.8382484452081497	3.7845724495968174	0.012028970068653628	7.703413063136286	118	0.025956026374419378	4	-38.103428	-226.33484	-2.4926739	-179.97633	-0.34564537	-89.450584	106.14861	204
31	0.8689476873717146	3.589039055228835	0.07145975344672065	2.322372841241892	183	0.0012268271154142196	9	-82.920135	-226.40724	-2.5221355	-177.64836	-0.3472113	-97.96901	102.117294	259
32	0.6158514295467578	4.944308239353499	0.11620151604672221	6.728521081867005	352	0.0005490137980524711	6	-37.542515	-226.25304	-2.4919472	-179.86656	-0.57078433	-89.34496	106.11995	104
33	0.6364135421705056	0.7353812405514767	0.07659065427424101	5.0463766907192005	71	0.0070648633901452965	6	-37.40029	-226.366	-2.47774	-178.48943	-0.529646	-89.05262	105.893105	5
34	0.7046076258567096	3.785957822969411	0.16584421645302796	7.081161694066252	176	0.13857436154567296	8	-37.920868	-226.09172	-2.5138297	-179.65723	-0.53628385	-89.34398	105.98	102
35	0.8260207469084153	1.5887282754887364	0.042237500866554464	3.8352682338594684	257	0.0327646559737189	3	-41.309593	-226.1071	-2.5370018	-179.34622	-0.3126776	-89.922516	105.56065	227
36	0.7492929411567858	3.4308658418987212	0.014416121590194675	1.8338607020238602	276	0.0384606338897538	2	-86.57446	-226.2914	-2.485464	-177.97127	-0.3457604	-98.733665	102.03101	267
37	0.708561392885605	4.462069118461722	0.018398018867752386	3.6199923534564746	397	0.07330989002631179	4	-38.460262	-226.12263	-2.495941	-179.42474	-0.31543976	-89.3638	105.92539	125
38	0.7311644397186705	0.2728393479359674	0.09557629587298327	6.055665904619888	210	0.0022291388335288253	4	-37.23242	-226.17758	-2.498138	-178.44653	-0.7291111	-89.01676	105.79766	3
39	0.6462856202437222	0.35774853863606404	0.08977658466305644	4.337874093605358	152	0.3207219073028014	6	-37.794872	-226.48766	-2.574459	-179.46292	-0.35590297	-89.33516	106.1072	93
40	0.9555954387536436	3.2555410982349495	0.02679805824142754	1.535793889712202	181	0.00491887854079379	8	-84.16879	-226.47314	-2.464232	-178.03728	-0.32945532	-98.29458	102.18708	261
41	0.762107056093582	0.8841639610821064	0.024418792043030903	9.096182009751923	393	0.1292528911570994	7	-37.8963	-226.29858	-2.574955	-179.88039	-0.441	-89.41824	106.10471	181
42	0.9724484727686804	1.5434042775000087	0.07527337450379955	7.455356078028902	374	0.08427235210946321	10	-38.02191	-226.08159	-2.5407336	-179.03242	-0.47554287	-89.23045	105.83889	46
43	0.9527250411885434	1.4340711699403088	0.022872482690001403	8.584027338406443	122	0.00016256354918980071	2	-38.032433	-226.31139	-2.5136437	-179.98476	-0.35818955	-89.44008	106.14451	200
44	0.6787219701660523	0.43277156537271855	0.06750773248708787	9.6645883624827	99	0.003672322412014961	8	-37.965126	-226.27353	-2.5341897	-179.921	-0.46444574	-89.431656	106.10038	193
45	0.9752539284113397	2.401592204143765	0.010170454267175081	9.992874712575924	50	0.0036123649197399746	5	-38.105938	-226.45416	-2.4554558	-180.14575	-0.30564547	-89.493385	106.23892	217
46	0.8514660951248807	4.85377019370533	0.04696779314647354	4.911049087251875	394	0.21772829748802544	9	-37.82762	-226.47195	-2.508371	-179.7935	-0.31772977	-89.383835	106.18996	145
47	0.6437173332926777	3.5105405562849232	0.14436963122419502	2.222834934944025	372	0.0022851235263582448	8	-88.56164	-226.23262	-2.541833	-178.47787	-0.32877135	-99.228546	102.046265	276
48	0.6676941550905607	2.0661564443744322	0.021762549811521537	1.4961531980286757	168	0.0006068723031127616	6	-94.88419	-226.17633	-2.475053	-177.59851	-0.3491259	-100.296646	101.74618	282
49	0.7688006135927397	1.9192812058236586	0.048993089048904294	7.158164701196729	342	0.3731711117245024	10	-37.983833	-226.00107	-2.5182383	-179.39816	-0.46097034	-89.27245	105.90285	67
50	0.6742821307153497	4.5476545779825015	0.09414111007404266	4.767553146500078	396	0.00010844173135362074	3	-37.8817	-226.46773	-2.5069695	-179.72272	-0.33351767	-89.38252	106.16393	141
51	0.910213965671402	2.4391956730193542	0.038355362986077016	6.024364049554626	152	0.04262903883595397	7	-37.404037	-226.28049	-2.487681	-179.05959	-0.6918523	-89.18472	105.949684	31
